index	primary_java_constant	buff_subclasses	talent_enum_constants	hero_java_refs	notes
0	HEARTY_MEAL		HEARTY_MEAL		
1	VETERANS_INTUITION		VETERANS_INTUITION		
2	PROVOKED_ANGER		PROVOKED_ANGER		
3	IRON_WILL		IRON_WILL		
4	IRON_STOMACH		IRON_STOMACH		
5	LIQUID_WILLPOWER		LIQUID_WILLPOWER		
6	RUNIC_TRANSFERENCE		RUNIC_TRANSFERENCE		
7	LETHAL_MOMENTUM		LETHAL_MOMENTUM		
8	IMPROVISED_PROJECTILES		IMPROVISED_PROJECTILES		
9	HOLD_FAST		HOLD_FAST		
10	STRONGMAN		STRONGMAN		
11	ENDLESS_RAGE		ENDLESS_RAGE		
12	DEATHLESS_FURY		DEATHLESS_FURY		
13	ENRAGED_CATALYST		ENRAGED_CATALYST		
14	CLEAVE		CLEAVE		
15	LETHAL_DEFENSE		LETHAL_DEFENSE		
16	ENHANCED_COMBO		ENHANCED_COMBO		
17	BODY_SLAM		BODY_SLAM		
18	IMPACT_WAVE		IMPACT_WAVE		
19	DOUBLE_JUMP		DOUBLE_JUMP		
20	EXPANDING_WAVE		EXPANDING_WAVE		
21	STRIKING_WAVE		STRIKING_WAVE		
22	SHOCK_FORCE		SHOCK_FORCE		
23	SUSTAINED_RETRIBUTION		SUSTAINED_RETRIBUTION		
24	SHRUG_IT_OFF		SHRUG_IT_OFF		
25	EVEN_THE_ODDS		EVEN_THE_ODDS		
26	HEROIC_ENERGY		HEROIC_ENERGY		
27					no_java_reference_found
28					no_java_reference_found
29					no_java_reference_found
30					no_java_reference_found
31					no_java_reference_found
32	EMPOWERING_MEAL		EMPOWERING_MEAL		
33	SCHOLARS_INTUITION		SCHOLARS_INTUITION		
34	LINGERING_MAGIC		LINGERING_MAGIC		
35	BACKUP_BARRIER		BACKUP_BARRIER		
36	ENERGIZING_MEAL		ENERGIZING_MEAL		
37	INSCRIBED_POWER		INSCRIBED_POWER		
38	WAND_PRESERVATION		WAND_PRESERVATION		
39	ARCANE_VISION		ARCANE_VISION		
40	SHIELD_BATTERY		SHIELD_BATTERY		
41	DESPERATE_POWER		DESPERATE_POWER		
42	ALLY_WARP		ALLY_WARP		
43	EMPOWERED_STRIKE		EMPOWERED_STRIKE		
44	MYSTICAL_CHARGE		MYSTICAL_CHARGE		
45	EXCESS_CHARGE		EXCESS_CHARGE		
46	SOUL_EATER		SOUL_EATER		
47	SOUL_SIPHON		SOUL_SIPHON		
48	NECROMANCERS_MINIONS		NECROMANCERS_MINIONS		
49	BLAST_RADIUS		BLAST_RADIUS		
50	ELEMENTAL_POWER		ELEMENTAL_POWER		
51	REACTIVE_BARRIER		REACTIVE_BARRIER		
52	WILD_POWER		WILD_POWER		
53	FIRE_EVERYTHING		FIRE_EVERYTHING		
54	CONSERVED_MAGIC		CONSERVED_MAGIC		
55	TELEFRAG		TELEFRAG		
56	REMOTE_BEACON		REMOTE_BEACON		
57	LONGRANGE_WARP		LONGRANGE_WARP		
58					no_java_reference_found
59					no_java_reference_found
60					no_java_reference_found
61					no_java_reference_found
62					no_java_reference_found
63					no_java_reference_found
64	CACHED_RATIONS		CACHED_RATIONS		
65	THIEFS_INTUITION		THIEFS_INTUITION		
66	SUCKER_PUNCH		SUCKER_PUNCH		
67	PROTECTIVE_SHADOWS		PROTECTIVE_SHADOWS		
68	MYSTICAL_MEAL		MYSTICAL_MEAL		
69	INSCRIBED_STEALTH		INSCRIBED_STEALTH		
70	WIDE_SEARCH		WIDE_SEARCH		
71	SILENT_STEPS		SILENT_STEPS		
72	ROGUES_FORESIGHT		ROGUES_FORESIGHT		
73	ENHANCED_RINGS		ENHANCED_RINGS		
74	LIGHT_CLOAK		LIGHT_CLOAK		
75	ENHANCED_LETHALITY		ENHANCED_LETHALITY		
76	ASSASSINS_REACH		ASSASSINS_REACH		
77	BOUNTY_HUNTER		BOUNTY_HUNTER		
78	EVASIVE_ARMOR		EVASIVE_ARMOR		
79	PROJECTILE_MOMENTUM		PROJECTILE_MOMENTUM		
80	SPEEDY_STEALTH		SPEEDY_STEALTH		
81	HASTY_RETREAT		HASTY_RETREAT		
82	BODY_REPLACEMENT		BODY_REPLACEMENT		
83	SHADOW_STEP		SHADOW_STEP		
84	FEAR_THE_REAPER		FEAR_THE_REAPER		
85	DEATHLY_DURABILITY		DEATHLY_DURABILITY		
86	DOUBLE_MARK		DOUBLE_MARK		
87	SHADOW_BLADE		SHADOW_BLADE		
88	CLONED_ARMOR		CLONED_ARMOR		
89	PERFECT_COPY		PERFECT_COPY		
90					no_java_reference_found
91					no_java_reference_found
92					no_java_reference_found
93					no_java_reference_found
94					no_java_reference_found
95					no_java_reference_found
96	NATURES_BOUNTY		NATURES_BOUNTY		
97	SURVIVALISTS_INTUITION		SURVIVALISTS_INTUITION		
98	FOLLOWUP_STRIKE		FOLLOWUP_STRIKE		
99	NATURES_AID		NATURES_AID		
100	INVIGORATING_MEAL		INVIGORATING_MEAL		
101	LIQUID_NATURE		LIQUID_NATURE		
102	REJUVENATING_STEPS		REJUVENATING_STEPS		
103	HEIGHTENED_SENSES		HEIGHTENED_SENSES		
104	DURABLE_PROJECTILES		DURABLE_PROJECTILES		
105	POINT_BLANK		POINT_BLANK		
106	SEER_SHOT		SEER_SHOT		
107	FARSIGHT		FARSIGHT		
108	SHARED_ENCHANTMENT		SHARED_ENCHANTMENT		
109	SHARED_UPGRADES		SHARED_UPGRADES		
110	DURABLE_TIPS		DURABLE_TIPS		
111	BARKSKIN		BARKSKIN		
112	SHIELDING_DEW		SHIELDING_DEW		
113	FAN_OF_BLADES		FAN_OF_BLADES		
114	PROJECTING_BLADES		PROJECTING_BLADES		
115	SPIRIT_BLADES		SPIRIT_BLADES		
116	GROWING_POWER		GROWING_POWER		
117	NATURES_WRATH		NATURES_WRATH		
118	WILD_MOMENTUM		WILD_MOMENTUM		
119	EAGLE_EYE		EAGLE_EYE		
120	GO_FOR_THE_EYES		GO_FOR_THE_EYES		
121	SWIFT_SPIRIT		SWIFT_SPIRIT		
122					no_java_reference_found
123					no_java_reference_found
124					no_java_reference_found
125					no_java_reference_found
126					no_java_reference_found
127					no_java_reference_found
128	STRENGTHENING_MEAL		STRENGTHENING_MEAL		
129	ADVENTURERS_INTUITION		ADVENTURERS_INTUITION		
130	PATIENT_STRIKE		PATIENT_STRIKE		
131	AGGRESSIVE_BARRIER		AGGRESSIVE_BARRIER		
132	FOCUSED_MEAL		FOCUSED_MEAL		
133	LIQUID_AGILITY		LIQUID_AGILITY		
134	WEAPON_RECHARGING		WEAPON_RECHARGING		
135	LETHAL_HASTE		LETHAL_HASTE		
136	SWIFT_EQUIP		SWIFT_EQUIP		
137	PRECISE_ASSAULT		PRECISE_ASSAULT		
138	DEADLY_FOLLOWUP		DEADLY_FOLLOWUP		
139	VARIED_CHARGE		VARIED_CHARGE		
140	TWIN_UPGRADES		TWIN_UPGRADES		
141	COMBINED_LETHALITY		COMBINED_LETHALITY		
142	UNENCUMBERED_SPIRIT		UNENCUMBERED_SPIRIT		
143	MONASTIC_VIGOR		MONASTIC_VIGOR		
144	COMBINED_ENERGY		COMBINED_ENERGY		
145	CLOSE_THE_GAP		CLOSE_THE_GAP		
146	INVIGORATING_VICTORY		INVIGORATING_VICTORY		
147	ELIMINATION_MATCH		ELIMINATION_MATCH		
148	ELEMENTAL_REACH		ELEMENTAL_REACH		
149	STRIKING_FORCE		STRIKING_FORCE		
150	DIRECTED_POWER		DIRECTED_POWER		
151	FEIGNED_RETREAT		FEIGNED_RETREAT		
152	EXPOSE_WEAKNESS		EXPOSE_WEAKNESS		
153	COUNTER_ABILITY		COUNTER_ABILITY		
154					no_java_reference_found
155					no_java_reference_found
156					no_java_reference_found
157					no_java_reference_found
158					no_java_reference_found
159					no_java_reference_found
160	SATIATED_SPELLS		SATIATED_SPELLS		
161	HOLY_INTUITION		HOLY_INTUITION		
162	SEARING_LIGHT		SEARING_LIGHT		
163	SHIELD_OF_LIGHT		SHIELD_OF_LIGHT		
164	ENLIGHTENING_MEAL		ENLIGHTENING_MEAL		
165	RECALL_INSCRIPTION		RECALL_INSCRIPTION		
166	SUNRAY		SUNRAY		
167	DIVINE_SENSE		DIVINE_SENSE		
168	BLESS		BLESS		
169	CLEANSE		CLEANSE		
170	LIGHT_READING		LIGHT_READING		
171	HOLY_LANCE		HOLY_LANCE		
172	HALLOWED_GROUND		HALLOWED_GROUND		
173	MNEMONIC_PRAYER		MNEMONIC_PRAYER		
174	LAY_ON_HANDS		LAY_ON_HANDS		
175	AURA_OF_PROTECTION		AURA_OF_PROTECTION		
176	WALL_OF_LIGHT		WALL_OF_LIGHT		
177	DIVINE_INTERVENTION		DIVINE_INTERVENTION		
178	JUDGEMENT		JUDGEMENT		
179	FLASH		FLASH		
180	BODY_FORM		BODY_FORM		
181	MIND_FORM		MIND_FORM		
182	SPIRIT_FORM		SPIRIT_FORM		
183	BEAMING_RAY		BEAMING_RAY		
184	LIFE_LINK		LIFE_LINK		
185	STASIS		STASIS		
186					no_java_reference_found
187					no_java_reference_found
188					no_java_reference_found
189					no_java_reference_found
190					no_java_reference_found
191					no_java_reference_found
192					no_java_reference_found
193					no_java_reference_found
194					no_java_reference_found
195					no_java_reference_found
196					no_java_reference_found
197					no_java_reference_found
198					no_java_reference_found
199					no_java_reference_found
200					no_java_reference_found
201					no_java_reference_found
202					no_java_reference_found
203					no_java_reference_found
204					no_java_reference_found
205					no_java_reference_found
206					no_java_reference_found
207					no_java_reference_found
208					no_java_reference_found
209					no_java_reference_found
210					no_java_reference_found
211					no_java_reference_found
212					no_java_reference_found
213					no_java_reference_found
214					no_java_reference_found
215	RATSISTANCE		RATSISTANCE		
216	RATLOMACY		RATLOMACY		
217	RATFORCEMENTS		RATFORCEMENTS		
218					no_java_reference_found
219					no_java_reference_found
220					no_java_reference_found
221					no_java_reference_found
222					no_java_reference_found
223					no_java_reference_found
224					no_java_reference_found
225					no_java_reference_found
226					no_java_reference_found
227					no_java_reference_found
228					no_java_reference_found
229					no_java_reference_found
230					no_java_reference_found
231					no_java_reference_found
232					no_java_reference_found
233					no_java_reference_found
234					no_java_reference_found
235					no_java_reference_found
236					no_java_reference_found
237					no_java_reference_found
238					no_java_reference_found
239					no_java_reference_found
240					no_java_reference_found
241					no_java_reference_found
242					no_java_reference_found
243					no_java_reference_found
244					no_java_reference_found
245					no_java_reference_found
246					no_java_reference_found
247					no_java_reference_found
248					no_java_reference_found
249					no_java_reference_found
250					no_java_reference_found
251					no_java_reference_found
252					no_java_reference_found
253					no_java_reference_found
254					no_java_reference_found
255					no_java_reference_found
